model,p,alpha,response,loso_rmse,loso_mae,normalized_loso_rmse
raw_parameters,,0.0,R100,0.007582241318882633,0.005218574257063693,1.2888005077433344
raw_parameters,,0.0,A,0.0017171050482851224,0.0011850342175901945,6.210379188110725
raw_parameters,,0.0,combined,,,3.7495898479270298
raw_parameters,,0.03,R100,0.0069445040379243865,0.004595937154320249,1.1804003531005427
raw_parameters,,0.03,A,0.0012117665381887596,0.0007447314672316265,4.382684505605653
raw_parameters,,0.03,combined,,,2.781542429353098
raw_parameters,,0.1,R100,0.007027129734293886,0.004507245161017632,1.1944447543475016
raw_parameters,,0.1,A,0.0008322206534096236,0.0005768035244109228,3.009953194775553
raw_parameters,,0.1,combined,,,2.102198974561527
raw_parameters,,0.3,R100,0.007211269280934473,0.004634053565587742,1.2257440933193438
raw_parameters,,0.3,A,0.0004626857366550084,0.000405826101167516,1.6734292828663393
raw_parameters,,0.3,combined,,,1.4495866880928414
raw_parameters,,1.0,R100,0.007315652440837444,0.00470557668769785,1.2434867453697045
raw_parameters,,1.0,A,0.00031675423371104323,0.0002723861331068843,1.1456281622080347
raw_parameters,,1.0,combined,,,1.1945574537888697
raw_parameters,,3.0,R100,0.007211830932326963,0.004328694671555753,1.2258395606843844
raw_parameters,,3.0,A,0.0003085346966721854,0.00026768681574286464,1.1158999625192572
raw_parameters,,3.0,combined,,,1.1708697616018209
raw_parameters,,10.0,R100,0.00702771875299402,0.004329408763876611,1.1945448735032864
raw_parameters,,10.0,A,0.00030141626392579874,0.00025433857415531883,1.0901542071129258
raw_parameters,,10.0,combined,,,1.142349540308106
separate_phase_exposure,1.0,0.0,R100,0.00749562808094093,0.005845886447719353,1.2740783193636838
separate_phase_exposure,1.0,0.0,A,0.0004468026938234073,0.0004075138674216935,1.6159839222905503
separate_phase_exposure,1.0,0.0,combined,,,1.445031120827117
separate_phase_exposure,1.0,0.03,R100,0.007567132341811206,0.005679188117165353,1.28623234135266
separate_phase_exposure,1.0,0.03,A,0.00045334419815508273,0.0004131030321084281,1.6396430585798214
separate_phase_exposure,1.0,0.03,combined,,,1.4629376999662407
separate_phase_exposure,1.0,0.1,R100,0.0076819604636718785,0.005723334140737839,1.3057503882642896
separate_phase_exposure,1.0,0.1,A,0.0004508098411415188,0.00040973877276034046,1.6304768645441106
separate_phase_exposure,1.0,0.1,combined,,,1.4681136264042
separate_phase_exposure,1.0,0.3,R100,0.007680579463619888,0.005682235915411393,1.305515651134021
separate_phase_exposure,1.0,0.3,A,0.00044779780986746887,0.00040668216510053845,1.619583031137133
separate_phase_exposure,1.0,0.3,combined,,,1.462549341135577
separate_phase_exposure,1.0,1.0,R100,0.00756945276350087,0.005500781507252494,1.2866267577957728
separate_phase_exposure,1.0,1.0,A,0.00043991937233948806,0.0003995068800775919,1.5910885109518556
separate_phase_exposure,1.0,1.0,combined,,,1.4388576343738142
separate_phase_exposure,1.0,3.0,R100,0.007327148544202083,0.005124139247251506,1.245440809244791
separate_phase_exposure,1.0,3.0,A,0.00042266686536015325,0.00038395738166218453,1.5286901094130554
separate_phase_exposure,1.0,3.0,combined,,,1.3870654593289231
separate_phase_exposure,1.0,10.0,R100,0.007015084969668688,0.0049136708432548516,1.1923974311205363
separate_phase_exposure,1.0,10.0,A,0.0003900551969978324,0.00035419132197375545,1.4107411075804683
separate_phase_exposure,1.0,10.0,combined,,,1.3015692693505023
summed_stress_benchmark,1.0,0.0,R100,0.0060285747122168455,0.00412886005362213,1.0247141739902679
summed_stress_benchmark,1.0,0.0,A,0.0004991858440804597,0.0004117187114853942,1.8054418861402124
summed_stress_benchmark,1.0,0.0,combined,,,1.4150780300652401
summed_stress_benchmark,1.0,0.03,R100,0.006028081518701501,0.004116044194004272,1.0246303428345107
summed_stress_benchmark,1.0,0.03,A,0.0004980334315764996,0.00041104631783356045,1.8012738717034371
summed_stress_benchmark,1.0,0.03,combined,,,1.412952107268974
summed_stress_benchmark,1.0,0.1,R100,0.006027276750007602,0.004086726868081067,1.024493551316318
summed_stress_benchmark,1.0,0.1,A,0.0004954016671162819,0.00040950816242086863,1.7917553770440287
summed_stress_benchmark,1.0,0.1,combined,,,1.4081244641801733
summed_stress_benchmark,1.0,0.3,R100,0.006027360535603621,0.004007230291588493,1.0245077928728907
summed_stress_benchmark,1.0,0.3,A,0.0004882974261518414,0.00040533731512931107,1.7660609500915554
summed_stress_benchmark,1.0,0.3,combined,,,1.395284371482223
summed_stress_benchmark,1.0,1.0,R100,0.006047155270468645,0.0038377374556604004,1.0278724265309036
summed_stress_benchmark,1.0,1.0,A,0.0004674571853093401,0.0003929290444369268,1.690686529561639
summed_stress_benchmark,1.0,1.0,combined,,,1.3592794780462714
summed_stress_benchmark,1.0,3.0,R100,0.0061634170469749205,0.0036448528144947916,1.047634160600126
summed_stress_benchmark,1.0,3.0,A,0.0004294059125254628,0.0003694419606263426,1.5530637132906588
summed_stress_benchmark,1.0,3.0,combined,,,1.3003489369453924
summed_stress_benchmark,1.0,10.0,R100,0.006488574989576563,0.004307505736067641,1.1029032695479182
summed_stress_benchmark,1.0,10.0,A,0.00038009553780966534,0.0003365600432915245,1.3747192810739062
summed_stress_benchmark,1.0,10.0,combined,,,1.2388112753109122
separate_phase_exposure,1.5,0.0,R100,0.007286800551566405,0.005746496656407838,1.2385826110935683
separate_phase_exposure,1.5,0.0,A,0.0004927787422451795,0.0004521652094182117,1.7822688531719215
separate_phase_exposure,1.5,0.0,combined,,,1.5104257321327448
separate_phase_exposure,1.5,0.03,R100,0.007293715905117021,0.005534447657206919,1.2397580565578352
separate_phase_exposure,1.5,0.03,A,0.0004733586813608286,0.000428193951493748,1.7120309011791384
separate_phase_exposure,1.5,0.03,combined,,,1.475894478868487
separate_phase_exposure,1.5,0.1,R100,0.007489118457384367,0.005611609876141972,1.2729718383388682
separate_phase_exposure,1.5,0.1,A,0.0004666264589683463,0.00041959317273241583,1.6876819809556722
separate_phase_exposure,1.5,0.1,combined,,,1.4803269096472702
separate_phase_exposure,1.5,0.3,R100,0.007516420755028489,0.005574973444501642,1.2776125789307924
separate_phase_exposure,1.5,0.3,A,0.0004615320177236398,0.00041406293420198046,1.6692565433781779
separate_phase_exposure,1.5,0.3,combined,,,1.4734345611544852
separate_phase_exposure,1.5,1.0,R100,0.007419771081367769,0.005399694731715529,1.2611844354243391
separate_phase_exposure,1.5,1.0,A,0.00045199673003900427,0.00040553032700105875,1.634769572270353
separate_phase_exposure,1.5,1.0,combined,,,1.447977003847346
separate_phase_exposure,1.5,3.0,R100,0.007193021584319626,0.004992524092671491,1.2226424193322876
separate_phase_exposure,1.5,3.0,A,0.00043248001109748963,0.00038881879856142177,1.5641820300255511
separate_phase_exposure,1.5,3.0,combined,,,1.3934122246789193
separate_phase_exposure,1.5,10.0,R100,0.006917508049087834,0.004725700537253969,1.1758116777133671
separate_phase_exposure,1.5,10.0,A,0.00039605321633385437,0.0003572876864436245,1.4324345820079754
separate_phase_exposure,1.5,10.0,combined,,,1.3041231298606712
summed_stress_benchmark,1.5,0.0,R100,0.006038129457526272,0.004152535239952678,1.026338253215428
summed_stress_benchmark,1.5,0.0,A,0.0004919402096065307,0.0004070428053348108,1.7792360709593147
